01-04 18:38:51: Training starting...
01-04 18:38:51: New best reward 27.0 (-100.0%) at episode 0, saving model...
01-04 18:38:51: New best reward 28.0 (+3.7%) at episode 7, saving model...
01-04 18:38:51: New best reward 63.0 (+125.0%) at episode 8, saving model...
01-04 18:38:51: New best reward 72.0 (+14.3%) at episode 153, saving model...
01-04 18:38:52: New best reward 73.0 (+1.4%) at episode 269, saving model...
01-04 18:39:34: New best reward 76.0 (+4.1%) at episode 22898, saving model...
01-04 18:39:34: New best reward 92.0 (+21.1%) at episode 22933, saving model...
01-04 18:39:34: New best reward 100.0 (+8.7%) at episode 22963, saving model...
01-04 18:39:34: New best reward 127.0 (+27.0%) at episode 22984, saving model...
01-04 18:39:43: New best reward 136.0 (+7.1%) at episode 25932, saving model...
01-04 18:39:43: New best reward 154.0 (+13.2%) at episode 26081, saving model...
01-04 18:40:05: New best reward 195.0 (+26.6%) at episode 34462, saving model...
01-04 18:40:40: New best reward 208.0 (+6.7%) at episode 42085, saving model...
01-04 18:41:59: New best reward 284.0 (+36.5%) at episode 65389, saving model...
01-04 18:41:59: New best reward 327.0 (+15.1%) at episode 65451, saving model...
01-04 18:42:08: New best reward 347.0 (+6.1%) at episode 68673, saving model...
01-04 18:42:16: New best reward 355.0 (+2.3%) at episode 69586, saving model...
01-04 18:43:25: New best reward 1046.0 (+194.6%) at episode 85378, saving model...
01-04 18:51:00: New best reward 1137.0 (+8.7%) at episode 139360, saving model...
