01-04 22:32:45: Training starting...
01-04 22:32:45: New best reward -8.7 (-100.0%) at episode 0, saving model...
01-04 22:32:45: New best reward -8.1 (-6.9%) at episode 2, saving model...
01-04 22:32:45: New best reward -7.5 (-7.4%) at episode 5, saving model...
01-04 22:32:45: New best reward -5.7 (-24.0%) at episode 10, saving model...
01-04 22:32:46: New best reward -5.1 (-10.5%) at episode 19, saving model...
01-04 22:32:46: New best reward -4.5 (-11.8%) at episode 109, saving model...
01-04 22:32:46: New best reward -3.3 (-26.7%) at episode 123, saving model...
01-04 22:32:49: New best reward 3.9 (-218.2%) at episode 817, saving model...
01-04 22:33:41: New best reward 4.1 (+5.1%) at episode 9200, saving model...
01-04 22:33:50: New best reward 4.9 (+19.5%) at episode 10476, saving model...
01-04 22:34:08: New best reward 6.1 (+24.5%) at episode 13078, saving model...
01-04 22:34:30: New best reward 6.2 (+1.6%) at episode 15913, saving model...
01-04 22:34:38: New best reward 6.6 (+6.5%) at episode 16808, saving model...
01-04 22:34:48: New best reward 8.4 (+27.3%) at episode 18097, saving model...
01-04 22:42:10: New best reward 12.9 (+53.6%) at episode 60546, saving model...
01-04 22:42:27: New best reward 17.9 (+38.8%) at episode 61940, saving model...
01-04 22:44:23: New best reward 19.1 (+6.7%) at episode 71314, saving model...
01-04 22:44:49: New best reward 23.4 (+22.5%) at episode 73392, saving model...
01-04 22:45:23: New best reward 26.9 (+15.0%) at episode 76002, saving model...
01-04 22:47:33: New best reward 34.4 (+27.9%) at episode 85893, saving model...
01-04 22:50:12: New best reward 45.9 (+33.4%) at episode 97694, saving model...
01-04 22:57:58: New best reward 54.9 (+19.6%) at episode 129570, saving model...
01-04 22:58:18: New best reward 64.4 (+17.3%) at episode 130822, saving model...
01-04 23:05:48: New best reward 68.9 (+7.0%) at episode 157422, saving model...
01-04 23:13:32: New best reward 74.7 (+8.4%) at episode 182848, saving model...
01-04 23:26:57: New best reward 76.1 (+1.9%) at episode 225532, saving model...
01-04 23:29:03: New best reward 78.4 (+3.0%) at episode 231811, saving model...
01-04 23:55:06: New best reward 80.7 (+2.9%) at episode 305899, saving model...
01-04 23:58:47: New best reward 81.3 (+0.7%) at episode 315526, saving model...
01-05 00:06:07: New best reward 83.8 (+3.1%) at episode 334261, saving model...
01-05 00:12:18: New best reward 88.5 (+5.6%) at episode 350004, saving model...
01-05 00:15:58: New best reward 90.7 (+2.5%) at episode 358808, saving model...
01-05 00:18:53: New best reward 104.2 (+14.9%) at episode 365778, saving model...
